Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,B0,B1,B2,B3,B4,B5,B6,B7,,
15885580,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
15940592,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
15950594,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
15970598,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
15980600,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
15985601,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16000604,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
16040613,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16050615,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16070619,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16085622,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16140634,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16150636,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16170641,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16180643,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
16185644,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16200647,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
16240655,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16250658,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16270662,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16285665,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16340677,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16350679,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16370683,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16380685,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
16385686,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16400689,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
16440698,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16450700,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16470704,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16485708,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16540719,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16550721,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16570726,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16580728,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
